mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1C(C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)CC(C)C)Cc1ccc(O)cc1)C(NC(=O)C(NC(=O)C(NC(=O)C1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO,1,997,-10.392177,2.4174352,-113.10583,-94.249428,-7.9182286,-66.344643,-10.392177,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0.00019019264,1
O=C(NCC(=O)N[C@](C(=O)N)CCCNC(=N)N)[C@@](NC(=O)[C@]1NC(=O)[C@](C(C)C)NC(=O)[C@]2NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](CCCNC(=N)N)NC(=O)CNC(=O)[C@](CCCNC(=N)N)NC(=O)[C@@](NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](N)CCCNC(=N)N)CC(C)C)CSSC1)CSSC2)C(C)C,1,430,-10.095806,2.2463937,-649.47058,-24.842617,-3.663646,-66.683754,-10.095806,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0,1
O=C(NCC(=O)N[C@](C(=O)N)CCCNC(=N)N)[C@@](NC(=O)[C@]1NC(=O)[C@](C(C)C)NC(=O)[C@]2NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](CCCNC(=N)N)NC(=O)CNC(=O)[C@](CCCNC(=N)N)NC(=O)[C@@](NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](N)CCCNC(=N)N)CC(C)C)CSSC1)CSSC2)C(C)C,1,430,-9.6890545,1.9711778,-651.56842,-49.832802,-6.6122518,-61.10463,-9.6890545,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0,1
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1C(C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)CC(C)C)Cc1ccc(O)cc1)C(NC(=O)C(NC(=O)C(NC(=O)C1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO,1,997,-9.5152016,2.1730614,-114.53225,-66.83226,-6.6625223,-55.306549,-9.5152016,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0.0066334875,1
O=C(NCC(=O)N[C@](C(=O)N)CCCNC(=N)N)[C@@](NC(=O)[C@]1NC(=O)[C@](C(C)C)NC(=O)[C@]2NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](CCCNC(=N)N)NC(=O)CNC(=O)[C@](CCCNC(=N)N)NC(=O)[C@@](NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](N)CCCNC(=N)N)CC(C)C)CSSC1)CSSC2)C(C)C,1,430,-9.1466751,5.3512692,-638.53198,-31.391279,-4.0652304,-54.225574,-9.1466751,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0,1
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1C(C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)CC(C)C)Cc1ccc(O)cc1)C(NC(=O)C(NC(=O)C(NC(=O)C1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO,1,997,-9.124691,1.6761607,-111.1221,-56.222778,-7.9763322,-55.001148,-9.124691,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0,1
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1C(C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)CC(C)C)Cc1ccc(O)cc1)C(NC(=O)C(NC(=O)C(NC(=O)C1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO,1,997,-8.7993307,2.3726478,-109.09661,-59.150303,-7.8153386,-50.081905,-8.7993307,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0.00028528896,1
O=C(NCC(=O)N[C@](C(=O)N)CCCNC(=N)N)[C@@](NC(=O)[C@]1NC(=O)[C@](C(C)C)NC(=O)[C@]2NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](CCCNC(=N)N)NC(=O)CNC(=O)[C@](CCCNC(=N)N)NC(=O)[C@@](NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)[C@@](N)CCCNC(=N)N)CC(C)C)CSSC1)CSSC2)C(C)C,1,430,-8.7916327,1.7897331,-629.10254,-27.285728,-4.0687394,-47.626724,-8.7916327,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0,1
S(CC[C@](NC=O)C(=O)N[C@](C(=O)NCC(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)O)CC(C)C)CCC(=O)O)CS)CC(=O)O)C,1,204,-8.7604866,2.4323454,-106.21464,-77.790619,-8.3953085,-52.17627,-8.7604866,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0.0065383911,1
O=C(NC1C(=O)NC(C(C)C)C(=O)N2C(C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC1C)CCC2)c1c2N=C3C(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5C(C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)CCC5)=C(N)C(=O)C(C)=C3Oc2c(C)cc1,1,829,-8.7536345,2.6990583,387.35364,-9.155633,-5.9969902,-53.464302,-8.7536345,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0,1
O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1C(C(=O)NCC)CCC1)CCC/N=C(\N)/N)CC(C)C)CC(C)C)Cc1ccc(O)cc1)C(NC(=O)C(NC(=O)C(NC(=O)C1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO,1,997,-8.7336674,3.6440237,-127.11617,-52.611965,-6.9932404,-49.581551,-8.7336674,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data11.sdf,0,1
