mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,E_orig,Rec_index
S=P(OCC1C(OP(=S)(OCC2C(OP(=S)(OCC3C(OP(=S)(OCC4C(OP(=S)(OCC5C(OP(=S)(OCC6C(OP(=S)(OCC7C(OP(=S)(OCC8C(OP(=S)(OCC9C(OP(=S)(OCC%10C(OP(=S)(OCC%11C(OP(=S)(OCC%12C(OP(=S)(OCC%13C(OP(=S)(OCC%14C(OP(=S)(OCC%15C(OP(=S)(OCC%16C(OP(=S)(OCC%17C(O)CC(N%18C(=O)NC(=O)C(C)=C%18)O%17)O)CC(N%17C(=O)N=C(N)C=C%17)O%16)O)CC(n%16c%17N=C(N)NC(=O)c%17nc%16)O%15)O)CC(N%15C(=O)NC(=O)C(C)=C%15)O%14)O)CC(N%14C(=O)N=C(N)C=C%14)O%13)O)CC(n%13c%14N=C(N)NC(=O)c%14nc%13)O%12)O)CC(N%12C(=O)NC(=O)C(C)=C%12)O%11)O)CC(n%11c%12ncnc(N)c%12nc%11)O%10)O)CC(N%10C(=O)N=C(N)C=C%10)O9)O)CC(N9C(=O)N=C(N)C=C9)O8)O)CC(n8c9N=C(N)NC(=O)c9nc8)O7)O)CC(N7C(=O)N=C(N)C=C7)O6)O)CC(N6C(=O)NC(=O)C(C)=C6)O5)O)CC(N5C(=O)N=C(N)C=C5)O4)O)CC(n4c5N=C(N)NC(=O)c5nc4)O3)O)CC(n3c4N=C(N)NC(=O)c4nc3)O2)O)CC(n2c3N=C(N)NC(=O)c3nc2)O1)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(S)(=O)OC7C(COP(=S)(OC8C(CO)OC(N9C(=O)NC(=O)C(C)=C9)C8)O)OC(n8c9ncnc(N)c9nc8)C7)OC(N7C(=O)NC(=O)C(C)=C7)C6)O)OC(N6C(=O)N=C(N)C=C6)C5)O)OC(N5C(=O)N=C(N)C=C5)C4)O)OC(n4c5N=C(N)NC(=O)c5nc4)C3)O)OC(n3c4N=C(N)NC(=O)c4nc3)C2)O)OC(n2c3ncnc(N)c3nc2)C1)O,1,919,-17.681105,6.3687506,-5130.1313,691.55481,62.285957,-127.29202,-17.681105,0,1
O=C(NC(C(=O)NC(C(=O)NC(C(=O)N1C(C(=O)NC(C(=O)NCC(=O)NCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCC(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCCN)CCCCN)CCCNC(=N)N)Cc2ccc(O)cc2)C(O)C)CCC1)CCCCN)CC(C)C)CO)C(NC(=O)C(NC(=O)C(NC(=O)C)CCC(=O)O)C)C(C)C,1,247,-14.889068,4.5622773,-1141.9127,113.73016,3.0574851,-106.39296,-14.889068,0,1
S=P(OCC1C(OP(=S)(OCC2C(O)CC(N3C(=O)N=C(N)C=C3)O2)O)CC(n2c3N=C(N)NC(=O)c3nc2)O1)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(=S)(OC%13C(COP(=S)(OC%14C(COP(=S)(OC%15C(COP(=S)(OC%16C(COP(=S)(OC%17C(COP(=S)(OC%18C(COP(=S)(OC%19C(CO)OC(n%20c%21N=C(N)NC(=O)c%21nc%20)C%19)O)OC(N%19C(=O)NC(=O)C(C)=C%19)C%18)O)OC(N%18C(=O)N=C(N)C(C)=C%18)C%17)O)OC(n%17c%18N=C(N)NC(=O)c%18nc%17)C%16)O)OC(N%16C(=O)N=C(N)C=C%16)C%15)O)OC(N%15C(=O)N=C(N)C=C%15)C%14)O)OC(N%14C(=O)N=C(N)C=C%14)C%13)O)OC(N%13C(=O)N=C(N)C=C%13)C%12)O)OC(N%12C(=O)NC(=O)C(C)=C%12)C%11)O)OC(N%11C(=O)NC(=O)C(C)=C%11)C%10)O)OC(N%10C(=O)N=C(N)C=C%10)C9)O)OC(N9C(=O)NC(=O)C(C)=C9)C8)O)OC(N8C(=O)N=C(N)C=C8)C7)O)OC(N7C(=O)N=C(N)C=C7)C6)O)OC(N6C(=O)N=C(N)C=C6)C5)O)OC(N5C(=O)N=C(N)C(C)=C5)C4)O)OC(n4c5N=C(N)NC(=O)c5nc4)C3)O)OC(N3C(=O)N=C(N)C=C3)C2)O)OC(n2c3ncnc(N)c3nc2)C1)O,1,200,-14.656767,4.7035303,-4650.606,81.120323,3.4124169,-108.13265,-14.656767,0,1
S=P(OCC1C(OP(=S)(OCC2C(O)CC(N3C(=O)N=C(N)C=C3)O2)O)CC(n2c3N=C(N)NC(=O)c3nc2)O1)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(=S)(OC%13C(COP(=S)(OC%14C(COP(=S)(OC%15C(COP(=S)(OC%16C(COP(=S)(OC%17C(COP(=S)(OC%18C(COP(=S)(OC%19C(CO)OC(n%20c%21N=C(N)NC(=O)c%21nc%20)C%19)O)OC(N%19C(=O)NC(=O)C(C)=C%19)C%18)O)OC(N%18C(=O)N=C(N)C(C)=C%18)C%17)O)OC(n%17c%18N=C(N)NC(=O)c%18nc%17)C%16)O)OC(N%16C(=O)N=C(N)C=C%16)C%15)O)OC(N%15C(=O)N=C(N)C=C%15)C%14)O)OC(N%14C(=O)N=C(N)C=C%14)C%13)O)OC(N%13C(=O)N=C(N)C=C%13)C%12)O)OC(N%12C(=O)NC(=O)C(C)=C%12)C%11)O)OC(N%11C(=O)NC(=O)C(C)=C%11)C%10)O)OC(N%10C(=O)N=C(N)C=C%10)C9)O)OC(N9C(=O)NC(=O)C(C)=C9)C8)O)OC(N8C(=O)N=C(N)C=C8)C7)O)OC(N7C(=O)N=C(N)C=C7)C6)O)OC(N6C(=O)N=C(N)C=C6)C5)O)OC(N5C(=O)N=C(N)C(C)=C5)C4)O)OC(n4c5N=C(N)NC(=O)c5nc4)C3)O)OC(N3C(=O)N=C(N)C=C3)C2)O)OC(n2c3ncnc(N)c3nc2)C1)O,1,200,-14.654637,6.2513194,-4663.6216,44.735458,1.7590764,-113.05727,-14.654637,0,1
S(CCC(NC(=O)C(NC(=O)C(NC(=O)C(N)CCC/N=C(\N)/N)C(CC)C)Cc1nc[nH]c1)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)N1C(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)Cc2ccc(O)cc2)CCC(=O)O)C(CC)C)Cc2ccccc2)C)Cc2ccc(O)cc2)CCC/N=C(\N)/N)CCC1)CCCCN)COP(=O)(O)O)CCC/N=C(\N)/N)CCCCN)CO)Cc1ccc(O)cc1)C(C)C)C,1,388,-14.561757,5.4401369,-584.80371,13.42152,-0.36817548,-100.01006,-14.561757,0,1
S=P(OCC1C(OP(=S)(OCC2C(O)CC(N3C(=O)N=C(N)C=C3)O2)O)CC(n2c3N=C(N)NC(=O)c3nc2)O1)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(=S)(OC%13C(COP(=S)(OC%14C(COP(=S)(OC%15C(COP(=S)(OC%16C(COP(=S)(OC%17C(COP(=S)(OC%18C(COP(=S)(OC%19C(CO)OC(n%20c%21N=C(N)NC(=O)c%21nc%20)C%19)O)OC(N%19C(=O)NC(=O)C(C)=C%19)C%18)O)OC(N%18C(=O)N=C(N)C(C)=C%18)C%17)O)OC(n%17c%18N=C(N)NC(=O)c%18nc%17)C%16)O)OC(N%16C(=O)N=C(N)C=C%16)C%15)O)OC(N%15C(=O)N=C(N)C=C%15)C%14)O)OC(N%14C(=O)N=C(N)C=C%14)C%13)O)OC(N%13C(=O)N=C(N)C=C%13)C%12)O)OC(N%12C(=O)NC(=O)C(C)=C%12)C%11)O)OC(N%11C(=O)NC(=O)C(C)=C%11)C%10)O)OC(N%10C(=O)N=C(N)C=C%10)C9)O)OC(N9C(=O)NC(=O)C(C)=C9)C8)O)OC(N8C(=O)N=C(N)C=C8)C7)O)OC(N7C(=O)N=C(N)C=C7)C6)O)OC(N6C(=O)N=C(N)C=C6)C5)O)OC(N5C(=O)N=C(N)C(C)=C5)C4)O)OC(n4c5N=C(N)NC(=O)c5nc4)C3)O)OC(N3C(=O)N=C(N)C=C3)C2)O)OC(n2c3ncnc(N)c3nc2)C1)O,1,200,-14.367014,4.1620383,-4612.7852,89.546364,8.3855247,-98.744141,-14.367014,0,1
S=P(OCC1C(OP(=S)(OCC2C(OP(=S)(OCC3C(OP(=S)(OCC4C(OP(=S)(OCC5C(OP(=S)(OCC6C(OP(=S)(OCC7C(OP(=S)(OCC8C(OP(=S)(OCC9C(OP(=S)(OCC%10C(OP(=S)(OCC%11C(OP(=S)(OCC%12C(OP(=S)(OCC%13C(OP(=S)(OCC%14C(OP(=S)(OCC%15C(OP(=S)(OCC%16C(OP(=S)(OCC%17C(OP(=S)(OCC%18C(O)C(OCCOC)C(N%19C(=O)NC(=O)C(C)=C%19)O%18)O)C(OCCOC)C(n%18c%19ncnc(N)c%19nc%18)O%17)O)C(OCCOC)C(N%17C(=O)NC(=O)C(C)=C%17)O%16)O)C(OCCOC)C(N%16C(=O)NC(=O)C(C)=C%16)O%15)O)C(OCCOC)C(N%15C(=O)NC(=O)C(C)=C%15)O%14)O)CC(N%14C(=O)N=C(N)C(C)=C%14)O%13)O)CC(n%13c%14N=C(N)NC(=O)c%14nc%13)O%12)O)CC(n%12c%13ncnc(N)c%13nc%12)O%11)O)CC(N%11C(=O)N=C(N)C(C)=C%11)O%10)O)CC(N%10C(=O)N=C(N)C(C)=C%10)O9)O)CC(N9C(=O)NC(=O)C(C)=C9)O8)O)CC(n8c9N=C(N)NC(=O)c9nc8)O7)O)CC(N7C(=O)NC(=O)C(C)=C7)O6)O)CC(N6C(=O)NC(=O)C(C)=C6)O5)O)CC(N5C(=O)N=C(N)C(C)=C5)O4)O)C(OCCOC)C(N4C(=O)NC(=O)C(C)=C4)O3)O)C(OCCOC)C(N3C(=O)NC(=O)C(C)=C3)O2)O)C(OCCOC)C(N2C(=O)N=C(N)C(C)=C2)O1)(OC1C(OCCOC)C(n2c3N=C(N)NC(=O)c3nc2)OC1COP(=S)(OC1C(OCCOC)C(n2c3ncnc(N)c3nc2)OC1CO)O)O,1,207,-14.356538,4.4271698,-3499.2307,232.95044,20.491322,-94.184624,-14.356538,0,1
S(CCC(NC(=O)C(NC(=O)C(NC(=O)C(N)CCC/N=C(\N)/N)C(CC)C)Cc1nc[nH]c1)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)N1C(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)Cc2ccc(O)cc2)CCC(=O)O)C(CC)C)Cc2ccccc2)C)Cc2ccc(O)cc2)CCC/N=C(\N)/N)CCC1)CCCCN)COP(=O)(O)O)CCC/N=C(\N)/N)CCCCN)CO)Cc1ccc(O)cc1)C(C)C)C,1,388,-14.238079,5.252511,-586.35553,-39.711868,-4.499579,-92.26178,-14.238079,0,1
S=P(OCC1C(OP(=S)(OCC2C(O)CC(N3C(=O)N=C(N)C=C3)O2)O)CC(n2c3N=C(N)NC(=O)c3nc2)O1)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(=S)(OC%13C(COP(=S)(OC%14C(COP(=S)(OC%15C(COP(=S)(OC%16C(COP(=S)(OC%17C(COP(=S)(OC%18C(COP(=S)(OC%19C(CO)OC(n%20c%21N=C(N)NC(=O)c%21nc%20)C%19)O)OC(N%19C(=O)NC(=O)C(C)=C%19)C%18)O)OC(N%18C(=O)N=C(N)C(C)=C%18)C%17)O)OC(n%17c%18N=C(N)NC(=O)c%18nc%17)C%16)O)OC(N%16C(=O)N=C(N)C=C%16)C%15)O)OC(N%15C(=O)N=C(N)C=C%15)C%14)O)OC(N%14C(=O)N=C(N)C=C%14)C%13)O)OC(N%13C(=O)N=C(N)C=C%13)C%12)O)OC(N%12C(=O)NC(=O)C(C)=C%12)C%11)O)OC(N%11C(=O)NC(=O)C(C)=C%11)C%10)O)OC(N%10C(=O)N=C(N)C=C%10)C9)O)OC(N9C(=O)NC(=O)C(C)=C9)C8)O)OC(N8C(=O)N=C(N)C=C8)C7)O)OC(N7C(=O)N=C(N)C=C7)C6)O)OC(N6C(=O)N=C(N)C=C6)C5)O)OC(N5C(=O)N=C(N)C(C)=C5)C4)O)OC(n4c5N=C(N)NC(=O)c5nc4)C3)O)OC(N3C(=O)N=C(N)C=C3)C2)O)OC(n2c3ncnc(N)c3nc2)C1)O,1,200,-13.895397,3.8088939,-4632.4463,70.953598,6.6837277,-92.50415,-13.895397,0,1
S=P(OCC1C(OP(=S)(OCC2C(OP(=S)(OCC3C(OP(=S)(OCC4C(OP(=S)(OCC5C(OP(=S)(OCC6C(O)CC(n7c8ncnc(N)c8nc7)O6)O)CC(N6C(=O)N=C(N)C=C6)O5)O)CC(N5C(=O)NC(=O)C(C)=C5)O4)O)CC(N4C(=O)NC(=O)C(C)=C4)O3)O)CC(N3C(=O)NC(=O)C(C)=C3)O2)O)CC(n2c3N=C(N)NC(=O)c3nc2)O1)(OC1C(COP(=S)(OC2C(COP(=S)(OC3C(COP(=S)(OC4C(COP(=S)(OC5C(COP(=S)(OC6C(COP(=S)(OC7C(COP(=S)(OC8C(COP(=S)(OC9C(COP(=S)(OC%10C(COP(=S)(OC%11C(COP(=S)(OC%12C(COP(S)(=O)OC%13C(COP(=S)(OC%14C(CO)OC(n%15c%16N=C(N)NC(=O)c%16nc%15)C%14)O)OC(N%14C(=O)NC(=O)C(C)=C%14)C%13)OC(N%13C(=O)NC(=O)C(C)=C%13)C%12)O)OC(N%12C(=O)N=C(N)C=C%12)C%11)O)OC(N%11C(=O)NC(=O)C(C)=C%11)C%10)O)OC(N%10C(=O)N=C(N)C=C%10)C9)O)OC(n9c%10N=C(N)NC(=O)c%10nc9)C8)O)OC(N8C(=O)N=C(N)C=C8)C7)O)OC(N7C(=O)NC(=O)C(C)=C7)C6)O)OC(n6c7N=C(N)NC(=O)c7nc6)C5)O)OC(n5c6N=C(N)NC(=O)c6nc5)C4)O)OC(N4C(=O)NC(=O)C(C)=C4)C3)O)OC(n3c4N=C(N)NC(=O)c4nc3)C2)O)OC(n2c3ncnc(N)c3nc2)C1)O,1,202,-13.695513,3.649061,-4114.354,283.50693,23.029764,-98.017044,-13.695513,0,1
