"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL3649851";"";"None";"575.08";"2";"4.79";"BDBM135187";"Cn1ncnc1C1CCCN1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1";"IC50";"'='";"21.0";"nM";"7.68";"";"268696";"UO_0000065";"13.35";"0.26";"2.89";"5.63";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3649993";"";"None";"497.00";"1";"5.07";"BDBM135387";"COCC(C)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1";"IC50";"'='";"9.0";"nM";"8.05";"";"268897";"UO_0000065";"16.19";"0.31";"2.98";"7.20";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3650023";"";"None";"597.99";"2";"5.31";"BDBM135426";"O=c1[nH]c(-c2cc3nc(N4CCO[C@@H]5CCC[C@H]54)n(Cc4ccc(C(F)(F)F)cc4)c3c(-c3cncc(Cl)c3)n2)no1";"IC50";"'='";"39.0";"nM";"7.41";"";"268935";"UO_0000065";"12.39";"0.24";"2.10";"6.44";"0";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3653333";"";"None";"527.09";"2";"6.17";"BDBM135452";"CCC(CSC)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1";"IC50";"'='";"2.0";"nM";"8.70";"";"268961";"UO_0000065";"16.50";"0.33";"2.53";"8.49";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3653334";"";"None";"559.09";"1";"4.85";"BDBM135453";"CCC(CS(C)(=O)=O)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1";"IC50";"'='";"7.0";"nM";"8.15";"";"268962";"UO_0000065";"14.59";"0.29";"3.30";"5.97";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3650008";"";"None";"559.11";"2";"5.91";"BDBM135408";"CNC(=O)c1cc2nc(N3CCOC[C@H]3c3ccccc3)n(C[C@H]3CC[C@H](C)CC3)c2c(-c2cncc(Cl)c2)n1";"IC50";"'='";"160.0";"nM";"6.80";"";"268917";"UO_0000065";"12.15";"0.23";"0.89";"7.98";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3650018";"";"None";"537.06";"2";"6.36";"BDBM135419";"CCOC(c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C(C)[C@H]1CC[C@H](C)CC1)C1CC1";"IC50";"'='";"13.0";"nM";"7.89";"";"268928";"UO_0000065";"14.68";"0.28";"1.53";"7.06";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3650021";"";"None";"542.04";"2";"5.24";"BDBM135424";"CCON(COC)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C(C)[C@H]1CC[C@H](C)CC1";"IC50";"'='";"3.0";"nM";"8.52";"";"268933";"UO_0000065";"15.72";"0.31";"3.28";"6.86";"0";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3647049";"";"None";"585.11";"2";"6.50";"BDBM135109";"C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3cc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1";"IC50";"'='";"3.0";"nM";"8.52";"";"268618";"UO_0000065";"14.57";"0.28";"2.02";"8.35";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
"CHEMBL3649834";"";"None";"600.12";"2";"6.28";"BDBM135165";"CC1CN(c2nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)C(c2ccccc2)CO1";"IC50";"'='";"1.0";"nM";"9.00";"";"268676";"UO_0000065";"15.00";"0.29";"2.72";"7.83";"1";"CHEMBL3706024";"FRET Assay: Methods: An HDM2 FRET assay was developed to assess the compounds' inhibitory activity towards binding of p53 protein. A truncated version of HDM2 with residues 17 to 125 (containing p53 binding surface, Science (1994) 265, 346-355), with N-terminal His and Thioredoxin tag was generated in pET32a expression vector and expressed in E. coli strain BL21(DE3)Rosetta. Protein was purified using Ni-affinity chromatography, followed by size exclusion chromatography using Superdex 75 26/60 column. To assess inhibition of p53 binding to HDM2, a FITC labeled 8-mer peptide (SEQ ID NO:1: Ac-Phe-Arg-Dpr-Ac6c-(6-Br)Trp-Glu-Glu-Leu-NH2; Anal Biochem. 2004 Aug. 1; 331(1):138-46) with strong affinity towards the p53 binding pocket of HDM2 was used. The HDM2 assay buffer contained 1x Phosphate Buffered Saline (Invitrogen, Cat#14190), 0.01% BSA (Jackson ImmunoResearch, Cat#001-000-162), 0.01% Tween-20.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5023";"p53-binding protein Mdm-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638835";"37";"BindingDB Database";"";"2014";"None";"";""
