mol,mseq,S
O=C(O[C@@]([C@](OC(=O)c1cnccc1)[C@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)[C@@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)c1cnccc1,240,-9.6152592
ClC[C@]1c2c3c(C)cccc3c(OC(=O)N(CCOCCO)CCN(C(=O)OCc3ccc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)OCCOCCN4C(=O)C=CC4=O)C(C)C)CCCNC(=O)N)cc3)C)cc2N(C(=O)c2nc3n(c2)C=C(NC(=O)c2ccc(O)cc2)C=C3)C1,31,-9.3972502
ClC[C@]1c2c3c(C)cccc3c(OC(=O)N(CCOCCO)CCN(C(=O)OCc3ccc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)OCCOCCN4C(=O)C=CC4=O)C(C)C)CCCNC(=O)N)cc3)C)cc2N(C(=O)c2nc3n(c2)C=C(NC(=O)c2ccc(O)cc2)C=C3)C1,31,-8.8998442
P(=O)(Oc1c(OC)cc([C@@]2c3c([C@@](O[C@]4[C@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@](OC(=O)COc5c(F)c(F)c(F)c(F)c5F)[C@@]5O[C@](C)OC[C@]5O4)[C@@]4[C@@]2C(=O)OC4)cc2OCOc2c3)cc1OC)(O)O,160,-8.8017578
O=C(OC[C@@]1[C@@](OC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)[C@@](NC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)O1)c1cnccc1,480,-8.7206793
ClC[C@]1c2c3c(C)cccc3c(OC(=O)N(CCOCCO)CCN(C(=O)OCc3ccc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)OCCOCCN4C(=O)C=CC4=O)C(C)C)CCCNC(=O)N)cc3)C)cc2N(C(=O)c2nc3n(c2)C=C(NC(=O)c2ccc(O)cc2)C=C3)C1,31,-8.6377916
ClC[C@]1c2c3c(C)cccc3c(OC(=O)N(CCOCCO)CCN(C(=O)OCc3ccc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)OCCOCCN4C(=O)C=CC4=O)C(C)C)CCCNC(=O)N)cc3)C)cc2N(C(=O)c2nc3n(c2)C=C(NC(=O)c2ccc(O)cc2)C=C3)C1,31,-8.6048965
ClC[C@]1c2c3c(C)cccc3c(OC(=O)N(CCOCCO)CCN(C(=O)OCc3ccc(NC(=O)[C@@](NC(=O)[C@@](NC(=O)OCCOCCN4C(=O)C=CC4=O)C(C)C)CCCNC(=O)N)cc3)C)cc2N(C(=O)c2nc3n(c2)C=C(NC(=O)c2ccc(O)cc2)C=C3)C1,31,-8.5132599
O=C(O[C@@]([C@](OC(=O)c1cnccc1)[C@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)[C@@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)c1cnccc1,240,-8.3947411
O=C1[C@@](Cc2ccccc2)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]2N(C(=O)[C@@](Cc3ccccc3)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]3N1CCC3)CCC2,382,-8.3703089
O=C(O[C@@]([C@](OC(=O)c1cnccc1)[C@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)[C@@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)c1cnccc1,240,-8.336256
O=C(O[C@@]([C@](OC(=O)c1cnccc1)[C@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)[C@@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)c1cnccc1,240,-8.3233509
O=C(Oc1cc2c(CC)c3c(nc2cc1)C=1N(C(=O)C2=C([C@@](O)(CC)C(=O)OC2)C=1)C3)N1CCC(CCn2c3c(cc(N4C(c5c(O)cc(O)c(C(C)C)c5)=NNC4=O)cc3)cc2)CC1,250,-8.3211689
O=C(OC[C@@]1[C@@](OC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)[C@@](NC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)O1)c1cnccc1,480,-8.2661648
O=C(Oc1cc2c(CC)c3c(nc2cc1)C=1N(C(=O)C2=C([C@@](O)(CC)C(=O)OC2)C=1)C3)N1CCC(CCn2c3c(cc(N4C(c5c(O)cc(O)c(C(C)C)c5)=NNC4=O)cc3)cc2)CC1,250,-8.2198181
O=C(OC[C@@]1[C@@](OC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)[C@@](NC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)O1)c1cnccc1,480,-8.178731
O=C(OC[C@@]1[C@@](OC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)[C@@](NC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)O1)c1cnccc1,480,-8.1364756
Brc1c(c(C(=O)c2cc(Cl)c(OCCCN(CCCC)CCCC)cc2)n2c1C=CC=C2)-c1ccccc1,461,-8.127779
O=C(OCC(O)COC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,45,-8.1258926
O=C(OC[C@@]1[C@@](OC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)[C@@](NC(=O)c2cnccc2)[C@](OC(=O)c2cnccc2)O1)c1cnccc1,480,-8.1167088
O=C(OCC(=O)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1)C(OCC)OCC,340,-8.0989466
S(SCCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C)CCNC(=O)CCNC(=O)[C@](OC(=O)c1cnccc1)C(COC(=O)c1cnccc1)(C)C,455,-8.0708075
O=C(OCC(COC(=O)C(CC)c1ccccc1)(COC(=O)C(CC)c1ccccc1)COC(=O)C(CC)c1ccccc1)C(CC)c1ccccc1,445,-8.0300426
P(=O)(Oc1c(C/C=C(/CCC[C@@](CCC[C@@](CCCC(C)C)C)C)\C)c(C)c(OP(=O)(O)O)c2c1cccc2)(O)O,211,-8.020999
O=C(O[C@@]([C@](OC(=O)c1cnccc1)[C@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)[C@@](OC(=O)c1cnccc1)COC(=O)c1cnccc1)c1cnccc1,240,-8.020545
O=C(O)[C@](NC(=O)[C@@](NC(=O)CCCCCCCCCCC)C)CCC(=O)N[C@](C(=O)O)CCC[C@](N)C(=O)N,402,-8.0150633
O(CCCCN1CCN(CCc2cc(OC)c(OC)c(OC)c2)CC1)c1c([C@]2(C(C)C)C(=O)N(C)c3c(S2)cccc3)cccc1,505,-7.993413
S(=O)(=O)(N[C@](C(=O)N(CC(=O)O)C1CC1)CC(=O)NC[C@]1CN(C(=N)N)CCC1)c1cc2c(cc1)cccc2,163,-7.9891796
ClCCN(CCCl)c1ccc(CCCC(=O)OCC(=O)O[C@@]2[C@]3(C)[C@]([C@]4[C@@](c5c(cc(OC(=O)c6ccccc6)cc5)CC4)CC3)CC2)cc1,649,-7.9789829
O=C(N(CC)CC)COc1c2c3c(O)c(C)c4O[C@@](C)(C(=O)c24)O/C=C/[C@](OC)[C@@](C)[C@@](OC(=O)C)[C@](C)[C@](O)[C@](C)[C@@](O)[C@@](C)/C=C/C=C(/C)\C(=O)Nc(c3O)c1,230,-7.953855
O=C(OCC(=O)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1)C(OCC)OCC,340,-7.9481654
O=C1[C@@](Cc2ccccc2)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]2N(C(=O)[C@@](Cc3ccccc3)NC(=O)[C@](CC(C)C)NC(=O)[C@](CCCN)NC(=O)[C@](C(C)C)NC(=O)[C@]3N1CCC3)CCC2,382,-7.9206133
O=C(O)CN(CC(=O)NCCOC)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCCOC,127,-7.9177732
O=C(OCC(=O)[C@@]1(O)C[C@](O[C@@]2O[C@@](C)[C@@](O)[C@@](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1)C(OCC)OCC,340,-7.9142489
