mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,E_orig,Rec_index
S(CC[C@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@]2NC(=O)CC2)CCC1)CO)CCCCN)CC(=O)O)C)Cc1ccccc1)[C@](CC)C)CC(C)C)C(=O)N)C,1,246,-9.3138971,4.9433289,25.23177,-31.093706,-7.6835632,-52.846302,-9.3138971,0,1
S(CC[C@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@]2NC(=O)CC2)CCC1)CO)CCCCN)CC(=O)O)C)Cc1ccccc1)[C@](CC)C)CC(C)C)C(=O)N)C,1,246,-8.8164711,2.136986,27.196489,-72.766991,-8.5183649,-55.004166,-8.8164711,0,1
S(=O)(=O)(OC[C@]1(O[C@@]2[C@](OS(=O)(=O)O)[C@@](OS(=O)(=O)O)[C@](OS(=O)(=O)O)[C@@](COS(=O)(=O)O)O2)[C@@](OS(=O)(=O)O)[C@](OS(=O)(=O)O)[C@@](COS(=O)(=O)O)O1)O,1,214,-8.557477,1.8663917,-317.40097,-55.613647,-10.206701,-58.544376,-8.557477,0,1
S(=O)(=O)(OC[C@]1(O[C@@]2[C@](OS(=O)(=O)O)[C@@](OS(=O)(=O)O)[C@](OS(=O)(=O)O)[C@@](COS(=O)(=O)O)O2)[C@@](OS(=O)(=O)O)[C@](OS(=O)(=O)O)[C@@](COS(=O)(=O)O)O1)O,1,214,-8.5337505,3.1852858,-317.84415,-74.313896,-10.257381,-54.3158,-8.5337505,0,1
S(=O)(=O)(OC[C@]1(O[C@@]2[C@](OS(=O)(=O)O)[C@@](OS(=O)(=O)O)[C@](OS(=O)(=O)O)[C@@](COS(=O)(=O)O)O2)[C@@](OS(=O)(=O)O)[C@](OS(=O)(=O)O)[C@@](COS(=O)(=O)O)O1)O,1,214,-8.5220318,1.5957468,-299.77231,-76.543678,-12.431163,-55.276951,-8.5220318,1.2898297,1
S(CC[C@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@]2NC(=O)CC2)CCC1)CO)CCCCN)CC(=O)O)C)Cc1ccccc1)[C@](CC)C)CC(C)C)C(=O)N)C,1,246,-8.3672514,3.9200521,19.814411,69.654663,-4.8999939,-47.744591,-8.3672514,0,1
O=C1C(CCCC)C(O)C(C)CCC(O)CCCC(O)CCCC(O)/C(/C)=C/C(O[C@@]2[C@@](O)[C@](O)[C@@](CO)O2)C(O)CC(O)CC(O)CC(O)CC(O)CCCC/C(/C)=C/C(C)C(C(C(O)CCCNC(=N)N)C)O1,1,63,-8.3302813,1.9804182,-187.05981,-46.192268,-8.5100737,-47.593731,-8.3302813,1.7711397,1
S(CC[C@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@]2NC(=O)CC2)CCC1)CO)CCCCN)CC(=O)O)C)Cc1ccccc1)[C@](CC)C)CC(C)C)C(=O)N)C,1,246,-8.319231,3.3110616,22.809097,-43.903442,-8.1406612,-47.895832,-8.319231,0,1
O=C(N[C@](C(=O)N[C@]([C@@](O)[C@@](O)CC(C)C)CC1CCCCC1)Cc1nc[nH]c1)[C@@](NC(=O)CC(N)(C)C)Cc1ccc(OC)cc1,1,277,-8.2536192,2.3958859,-75.681129,-77.096184,-9.0402613,-42.205112,-8.2536192,0.0065383911,1
O=C(N[C@](C(=O)N[C@]([C@@](O)[C@@](O)CC(C)C)CC1CCCCC1)Cc1nc[nH]c1)[C@@](NC(=O)CC(N)(C)C)Cc1ccc(OC)cc1,1,277,-8.1771154,1.7394247,-74.36441,-89.132507,-10.096372,-41.307014,-8.1771154,0.0065383911,1
