mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index,PLIF_raw,FP:PLIF,PLIF_ligidx
SP(=O)(OCC(O)CNC(=O)CCCCCCCCCCCCCCC)OCC1C(NP(S)(=O)OCC2C(NP(S)(=O)OCC3C(NP(S)(=O)OCC4C(NP(S)(=O)OCC5C(NP(S)(=O)OCC6C(NP(S)(=O)OCC7C(NP(S)(=O)OCC8C(NP(S)(=O)OCC9C(NP(S)(=O)OCC%10C(NP(S)(=O)OCC%11C(NP(S)(=O)OCC%12C(NP(S)(=O)OCC%13C(N)CC(n%14c%15ncnc(N)c%15nc%14)O%13)CC(n%13c%14ncnc(N)c%14nc%13)O%12)CC(N%12C(=O)N=C(N)C=C%12)O%11)CC(n%11c%12ncnc(N)c%12nc%11)O%10)CC(n%10c%11N=C(N)NC(=O)c%11nc%10)O9)CC(n9c%10ncnc(N)c%10nc9)O8)CC(N8C(=O)NC(=O)C(C)=C8)O7)CC(N7C(=O)NC(=O)C(C)=C7)O6)CC(n6c7N=C(N)NC(=O)c7nc6)O5)CC(n5c6N=C(N)NC(=O)c6nc5)O4)CC(n4c5N=C(N)NC(=O)c5nc4)O3)CC(n3c4ncnc(N)c4nc3)O2)CC(N2C(=O)NC(=O)C(C)=C2)O1,1,595,-10.89247,2.1451104,-2194.1284,16.508423,-2.8781521,-69.589745,-10.89247,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[49 51 56 58 176 188 408 374 430 75 87 85 83 78 76 419 429 428 424 422 420] [584 3175 3175 3175 3174 932 878 941 906 563 563 563 563 563 563 912 912 912 912 912 912] [52 20204 20204 20204 20203 72 69 72 70 51 51 51 51 51 51 71 71 71 71 71 71] [1 5 5 5 5 3 3 2 2 10 10 10 10 10 10 10 10 10 10 10 10] [1.4 1 0.5 0.6 1 2.2 0.7 1.5 6.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7]],16 99 72 96 97 58 18 70 11 12 7 55,[[75 87 85 83 78 76] 49 408 430 430 [419 429 428 424 422 420] 374 374 188 188 176 [51 56 58]]
SP(=O)(OCC(O)CNC(=O)CCCCCCCCCCCCCCC)OCC1C(NP(S)(=O)OCC2C(NP(S)(=O)OCC3C(NP(S)(=O)OCC4C(NP(S)(=O)OCC5C(NP(S)(=O)OCC6C(NP(S)(=O)OCC7C(NP(S)(=O)OCC8C(NP(S)(=O)OCC9C(NP(S)(=O)OCC%10C(NP(S)(=O)OCC%11C(NP(S)(=O)OCC%12C(NP(S)(=O)OCC%13C(N)CC(n%14c%15ncnc(N)c%15nc%14)O%13)CC(n%13c%14ncnc(N)c%14nc%13)O%12)CC(N%12C(=O)N=C(N)C=C%12)O%11)CC(n%11c%12ncnc(N)c%12nc%11)O%10)CC(n%10c%11N=C(N)NC(=O)c%11nc%10)O9)CC(n9c%10ncnc(N)c%10nc9)O8)CC(N8C(=O)NC(=O)C(C)=C8)O7)CC(N7C(=O)NC(=O)C(C)=C7)O6)CC(n6c7N=C(N)NC(=O)c7nc6)O5)CC(n5c6N=C(N)NC(=O)c6nc5)O4)CC(n4c5N=C(N)NC(=O)c5nc4)O3)CC(n3c4ncnc(N)c4nc3)O2)CC(N2C(=O)NC(=O)C(C)=C2)O1,1,595,-10.805668,5.1030636,-2263.2849,130.95068,5.339169,-68.660896,-10.805668,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[98 132 153 474 112 121 109 122 113 112 110] [3174 940 3174 878 1274 927 950 950 950 950 950] [20203 72 20203 69 94 72 73 73 73 73 73] [5 1 5 3 2 4 10 10 10 10 10] [4.2 2.3 0.8 2.6 1.4 0.5 0.7 0.7 0.7 0.7 0.7]],72 73 23 24 59 34 46 7 8,[474 474 132 132 121 [109 122 113 112 110] 112 [98 153] 98]
SP(=O)(OCC(O)CNC(=O)CCCCCCCCCCCCCCC)OCC1C(NP(S)(=O)OCC2C(NP(S)(=O)OCC3C(NP(S)(=O)OCC4C(NP(S)(=O)OCC5C(NP(S)(=O)OCC6C(NP(S)(=O)OCC7C(NP(S)(=O)OCC8C(NP(S)(=O)OCC9C(NP(S)(=O)OCC%10C(NP(S)(=O)OCC%11C(NP(S)(=O)OCC%12C(NP(S)(=O)OCC%13C(N)CC(n%14c%15ncnc(N)c%15nc%14)O%13)CC(n%13c%14ncnc(N)c%14nc%13)O%12)CC(N%12C(=O)N=C(N)C=C%12)O%11)CC(n%11c%12ncnc(N)c%12nc%11)O%10)CC(n%10c%11N=C(N)NC(=O)c%11nc%10)O9)CC(n9c%10ncnc(N)c%10nc9)O8)CC(N8C(=O)NC(=O)C(C)=C8)O7)CC(N7C(=O)NC(=O)C(C)=C7)O6)CC(n6c7N=C(N)NC(=O)c7nc6)O5)CC(n5c6N=C(N)NC(=O)c6nc5)O4)CC(n4c5N=C(N)NC(=O)c5nc4)O3)CC(n3c4ncnc(N)c4nc3)O2)CC(N2C(=O)NC(=O)C(C)=C2)O1,1,595,-10.723347,3.8291805,-2205.0239,32.562775,3.4298255,-67.469704,-10.723347,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[128 311 351 98 356 473] [3174 756 756 24 701 818] [20203 62 62 19 59 65] [5 1 1 4 2 2] [1.9 0.5 0.8 0.7 1 0.8]],88 100 15 27 7 8,[98 356 [311 351] 473 128 128]
SP(=O)(OCC(O)CNC(=O)CCCCCCCCCCCCCCC)OCC1C(NP(S)(=O)OCC2C(NP(S)(=O)OCC3C(NP(S)(=O)OCC4C(NP(S)(=O)OCC5C(NP(S)(=O)OCC6C(NP(S)(=O)OCC7C(NP(S)(=O)OCC8C(NP(S)(=O)OCC9C(NP(S)(=O)OCC%10C(NP(S)(=O)OCC%11C(NP(S)(=O)OCC%12C(NP(S)(=O)OCC%13C(N)CC(n%14c%15ncnc(N)c%15nc%14)O%13)CC(n%13c%14ncnc(N)c%14nc%13)O%12)CC(N%12C(=O)N=C(N)C=C%12)O%11)CC(n%11c%12ncnc(N)c%12nc%11)O%10)CC(n%10c%11N=C(N)NC(=O)c%11nc%10)O9)CC(n9c%10ncnc(N)c%10nc9)O8)CC(N8C(=O)NC(=O)C(C)=C8)O7)CC(N7C(=O)NC(=O)C(C)=C7)O6)CC(n6c7N=C(N)NC(=O)c7nc6)O5)CC(n5c6N=C(N)NC(=O)c6nc5)O4)CC(n4c5N=C(N)NC(=O)c5nc4)O3)CC(n3c4ncnc(N)c4nc3)O2)CC(N2C(=O)NC(=O)C(C)=C2)O1,1,595,-10.554332,4.568203,-2214.7324,44.807922,-0.68763787,-65.795792,-10.554332,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[188 198 431 483 140 167 451 464 455 454 452 485 498 489 488 486 489 498 497 495 494 490 485 498 489 488 486 143 157 147 146 144] [878 940 3174 3173 906 1274 107 107 107 107 107 607 607 607 607 607 612 612 612 612 612 612 612 612 612 612 612 903 903 903 903 903] [69 72 20203 20202 70 94 24 24 24 24 24 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 70 70 70 70 70] [3 1 5 5 2 2 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10] [2.7 1.1 0.7 1.3 0.7 4.7 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1 1 1 1 1 1 0.6 0.6 0.6 0.6 0.6 0.5 0.5 0.5 0.5 0.5]],101 102 3 29 72 73 96 103 23 46 47 4 7,[[451 464 455 454 452] [451 464 455 454 452] [485 498 489 488 486 489 498 497 495 494 490 485 498 489 488 486] [485 498 489 488 486 489 498 497 495 494 490] 188 188 140 [143 157 147 146 144] 198 167 167 483 431]
S(C[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)O)CCCCN)CCCCN)CCCCN)CCCCN)CO)CC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1,817,-10.348538,9.2313757,106.77256,-35.960697,-3.8673544,-62.62524,-10.348538,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.013076782,1,[[68 68 100 166] [812 818 818 818] [65 65 65 65] [2 2 2 2] [0.7 0.9 0.9 0.7]],27,[[68 68 100 166]]
S(SCCOC(=O)OCCN1[C@@]2[C@]1CCC[C@](C)[C@](O)[C@@](C)C(=O)C(C)(C)[C@@](O)CC(=O)O[C@](/C(=C/c1nc(C)sc1)/C)C2)C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CC[C@](NC(=O)c1ccc(NCc2nc3C(=O)NC(N)=Nc3nc2)cc1)C(=O)O)CC(=O)O)CCCNC(=N)N)CC(=O)O)C(=O)O,1,294,-10.344947,3.9317632,-324.28177,-11.405564,-5.8417792,-65.332214,-10.344947,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.0017969018,1,[[114 195 186 194 177 178 179 183 185 187] [3174 3173 659 566 636 636 636 636 636 636] [20203 20202 56 51 55 55 55 55 55 55] [5 5 2 2 10 10 10 10 10 10] [0.7 8.1 0.8 1.9 1.1 1.1 1.1 1.1 1.1 1.1]],40 41 37 45 79 4 9 7,[194 194 [177 178 179 183 185 187] [177 178 179 183 185 187] 186 195 195 114]
SP(=O)(OCC(O)CNC(=O)CCCCCCCCCCCCCCC)OCC1C(NP(S)(=O)OCC2C(NP(S)(=O)OCC3C(NP(S)(=O)OCC4C(NP(S)(=O)OCC5C(NP(S)(=O)OCC6C(NP(S)(=O)OCC7C(NP(S)(=O)OCC8C(NP(S)(=O)OCC9C(NP(S)(=O)OCC%10C(NP(S)(=O)OCC%11C(NP(S)(=O)OCC%12C(NP(S)(=O)OCC%13C(N)CC(n%14c%15ncnc(N)c%15nc%14)O%13)CC(n%13c%14ncnc(N)c%14nc%13)O%12)CC(N%12C(=O)N=C(N)C=C%12)O%11)CC(n%11c%12ncnc(N)c%12nc%11)O%10)CC(n%10c%11N=C(N)NC(=O)c%11nc%10)O9)CC(n9c%10ncnc(N)c%10nc9)O8)CC(N8C(=O)NC(=O)C(C)=C8)O7)CC(N7C(=O)NC(=O)C(C)=C7)O6)CC(n6c7N=C(N)NC(=O)c7nc6)O5)CC(n5c6N=C(N)NC(=O)c6nc5)O4)CC(n4c5N=C(N)NC(=O)c5nc4)O3)CC(n3c4ncnc(N)c4nc3)O2)CC(N2C(=O)NC(=O)C(C)=C2)O1,1,595,-10.336551,4.2993379,-2235.3616,144.02684,7.6966352,-68.50885,-10.336551,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[408 434 457 491 495 84 84 219 408 425 425 425 425 425 425 320 329 328 326 325 321 316 329 320 319 317 83 85 87 75 76 78] [3174 3174 700 3173 3174 812 818 906 1271 849 852 856 858 854 850 2 2 2 2 2 2 2 2 2 2 2 818 818 818 818 818 818] [20203 20203 59 20202 20203 65 65 70 94 67 67 67 67 67 67 17 17 17 17 17 17 17 17 17 17 17 65 65 65 65 65 65] [5 5 1 5 5 2 2 2 2 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10] [3.9 0.5 1.2 3.4 0.6 0.5 2.5 3.6 1 0.6 0.6 0.6 0.6 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.8 0.8 0.8 0.8 0.8 0.6 0.6 0.6 0.6 0.6 0.6]],104 62 27 28 83 5 96 97 46 4 9 7 8,[[320 329 328 326 325 321 316 329 320 319 317] 457 [84 84] 84 [83 85 87 75 76 78] [425 425 425 425 425 425] 219 219 408 491 491 [408 434 495] 408]
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)C)C)CCC(=O)N)Cc1ccccc1)CO)CCCCN)[C@](O)C)C)C)CCCCN,1,590,-10.133655,4.0371985,-36.061138,-8.8742514,-4.9341521,-62.116409,-10.133655,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[14 140] [3173 878] [20202 69] [5 3] [3.3 1.1]],72 4 9,[140 14 14]
S(SCCOC(=O)OCCN1[C@@]2[C@]1CCC[C@](C)[C@](O)[C@@](C)C(=O)C(C)(C)[C@@](O)CC(=O)O[C@](/C(=C/c1nc(C)sc1)/C)C2)C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CC[C@](NC(=O)c1ccc(NCc2nc3C(=O)NC(N)=Nc3nc2)cc1)C(=O)O)CC(=O)O)CCCNC(=N)N)CC(=O)O)C(=O)O,1,294,-10.12288,2.6914454,-326.10013,19.143425,-0.12422852,-66.587471,-10.12288,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.0017969018,1,[[65 84 130 173 173 173 173 173 173 188 188 188 188 188 188 187 187 187 187 187 187 177 177 177 177 177 177 176 176 176 176 176 176 174 174 174 174 174 174] [886 756 893 630 629 632 636 638 634 630 629 632 636 638 634 630 629 632 636 638 634 630 629 632 636 638 634 630 629 632 636 638 634 630 629 632 636 638 634] [69 62 70 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55] [1 1 3 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10] [1.7 0.8 1.7 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005]],15 57 80 51 52,[84 65 65 130 130]
S(SCCOC(=O)OCCN1[C@@]2[C@]1CCC[C@](C)[C@](O)[C@@](C)C(=O)C(C)(C)[C@@](O)CC(=O)O[C@](/C(=C/c1nc(C)sc1)/C)C2)C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CC[C@](NC(=O)c1ccc(NCc2nc3C(=O)NC(N)=Nc3nc2)cc1)C(=O)O)CC(=O)O)CCCNC(=N)N)CC(=O)O)C(=O)O,1,294,-10.005595,3.8628175,-340.32513,24.619291,-2.0988407,-62.4184,-10.005595,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.0017969018,1,[[139 146 139 139 139 139 139 162 191 189 167 165 163] [3173 3173 1306 1308 1304 1302 1303 634 634 634 634 634 634] [20202 20202 96 96 96 96 96 55 55 55 55 55 55] [5 5 10 10 10 10 10 10 10 10 10 10 10] [0.7 0.7 0.5 0.5 0.5 0.5 0.5 0.6 0.6 0.6 0.6 0.6 0.6]],37 13 4,[[162 191 189 167 165 163] [139 139 139 139 139] [139 146]]
