mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCNC(=N)N)CCCNC(=N)N)Cc3c4c([nH]c3)cccc4)CCC2)Cc2c3c([nH]c2)cccc3)Cc2c3c([nH]c2)cccc3)CCC1)Cc1c2c([nH]c1)cccc2)CCCNC(=N)N)CC(C)C)[C@@](N)[C@](CC)C,1,313,-10.799273,1.9906747,-463.25522,-46.751144,-4.8893251,-69.246658,-10.799273,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.31147003,1
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCNC(=N)N)CCCNC(=N)N)Cc3c4c([nH]c3)cccc4)CCC2)Cc2c3c([nH]c2)cccc3)Cc2c3c([nH]c2)cccc3)CCC1)Cc1c2c([nH]c1)cccc2)CCCNC(=N)N)CC(C)C)[C@@](N)[C@](CC)C,1,313,-10.310101,5.0694513,-457.44891,8.3851614,-3.8042126,-64.235718,-10.310101,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.31800842,1
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCNC(=N)N)CCCNC(=N)N)Cc3c4c([nH]c3)cccc4)CCC2)Cc2c3c([nH]c2)cccc3)Cc2c3c([nH]c2)cccc3)CCC1)Cc1c2c([nH]c1)cccc2)CCCNC(=N)N)CC(C)C)[C@@](N)[C@](CC)C,1,313,-10.206085,2.0713005,-461.36121,-25.51829,-3.4989445,-58.381844,-10.206085,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.013076782,1
S(=O)(=O)(CC[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)NCCCCCCCCN)Cc1ccccc1)CCCCN)Cc1ccccc1)Cc1nc[nH]c1)CCC(=O)O)C,1,42,-10.07026,3.5866702,22.828053,-73.130829,-8.1074667,-63.772427,-10.07026,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.0065383911,1
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCNC(=N)N)CCCNC(=N)N)Cc3c4c([nH]c3)cccc4)CCC2)Cc2c3c([nH]c2)cccc3)Cc2c3c([nH]c2)cccc3)CCC1)Cc1c2c([nH]c1)cccc2)CCCNC(=N)N)CC(C)C)[C@@](N)[C@](CC)C,1,313,-10.05104,2.7803688,-468.60922,-4.8861146,-5.182806,-54.479889,-10.05104,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.026153564,1
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCCN)CCCNC(=N)N)CCCNC(=N)N)Cc3c4c([nH]c3)cccc4)CCC2)Cc2c3c([nH]c2)cccc3)Cc2c3c([nH]c2)cccc3)CCC1)Cc1c2c([nH]c1)cccc2)CCCNC(=N)N)CC(C)C)[C@@](N)[C@](CC)C,1,313,-9.9172373,3.2730114,-468.81088,-69.95797,-6.6565576,-61.286839,-9.9172373,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.019615173,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c2c([nH]c1)cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,926,-9.4228334,2.5444422,-168.83711,-66.463951,-6.9357553,-52.202969,-9.4228334,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.0065383911,1
S(=O)(=O)(CC[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)NCCCCCCCCN)Cc1ccccc1)CCCCN)Cc1ccccc1)Cc1nc[nH]c1)CCC(=O)O)C,1,42,-9.378109,3.0064631,22.332695,-39.183857,-6.3263969,-58.252075,-9.378109,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.0065383911,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c2c([nH]c1)cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,926,-9.1933403,4.3799825,-181.68694,-36.072071,-5.9640789,-53.483913,-9.1933403,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,2.8884847,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c2c([nH]c1)cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,926,-9.1844158,2.520052,-166.01529,-62.040916,-7.1262732,-56.8578,-9.1844158,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.0065383911,1
Fc1c(N2CCC(c3ccc(F)cc3)CC2)c(F)cc(N2[C@@](c3c(F)cc4[nH]c([C@]5N(C(=O)[C@@](NC(=O)OC)[C@](OC)C)CCC5)nc4c3)CC[C@@]2c2c(F)cc3[nH]c([C@]4N(C(=O)[C@@](NC(=O)OC)[C@](OC)C)CCC4)nc3c2)c1,1,125,-9.174242,4.1840167,20.1625,1.2549658,-8.5827446,-53.660564,-9.174242,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.16748047,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c2c([nH]c1)cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,926,-9.1430702,2.8592787,-179.87462,-14.435353,-6.5287123,-52.988617,-9.1430702,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.013076782,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1[C@](C(=O)NCC)CCC1)CCCNC(=N)N)CC(C)C)Cc1c2c([nH]c1)cccc2)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,1,926,-9.0979061,6.7541142,-172.3671,-63.033875,-6.1948857,-52.016777,-9.0979061,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,2.8884847,1
O=C(O)[C@@](NC(=O)[C@]1NC(=O)CNC(=O)[C@]([C@](O)C)NC(=O)[C@]2NC(=O)[C@](C)NC(=O)[C@](C(C)C)NC(=O)[C@](CC(=O)N)NC(=O)[C@](C(C)C)NC(=O)[C@@](NC(=O)[C@](CC(C)C)NC(=O)[C@](CCC(=O)O)NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CC(=O)N)CC(=O)O)CCC(=O)O)CSSC2)CSSC1)CC(C)C,1,26,-8.9786539,4.8528719,-166.76517,-43.848057,-2.1452179,-52.321266,-8.9786539,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
O=C(O)[C@@](NC(=O)[C@]1NC(=O)CNC(=O)[C@]([C@](O)C)NC(=O)[C@]2NC(=O)[C@](C)NC(=O)[C@](C(C)C)NC(=O)[C@](CC(=O)N)NC(=O)[C@](C(C)C)NC(=O)[C@@](NC(=O)[C@](CC(C)C)NC(=O)[C@](CCC(=O)O)NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CC(=O)N)CC(=O)O)CCC(=O)O)CSSC2)CSSC1)CC(C)C,1,26,-8.9531775,2.5204659,-168.5126,-61.188019,-6.1603069,-52.259148,-8.9531775,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
O=C(N[C@@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@@]1C(=O)NCC(=O)N[C@@](CCCN)C(=O)N[C@@](CC(=O)O)C(=O)N[C@](C)C(=O)N[C@@](CC(=O)O)C(=O)NCC(=O)N[C@](CO)C(=O)N[C@@]([C@@](CC(=O)O)C)C(=O)N[C@@](CC(=O)c2c(N)cccc2)C(=O)O[C@@]1C)CC(=O)O)CC(=O)N)Cc1c2c([nH]c1)cccc2)/C=C(\C)/c1ccc(CCCCC)cc1,1,739,-8.8024769,4.6756549,-270.25168,-40.952324,-5.6911387,-53.471317,-8.8024769,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
O=C(N[C@@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@@]1C(=O)NCC(=O)N[C@@](CCCN)C(=O)N[C@@](CC(=O)O)C(=O)N[C@](C)C(=O)N[C@@](CC(=O)O)C(=O)NCC(=O)N[C@](CO)C(=O)N[C@@]([C@@](CC(=O)O)C)C(=O)N[C@@](CC(=O)c2c(N)cccc2)C(=O)O[C@@]1C)CC(=O)O)CC(=O)N)Cc1c2c([nH]c1)cccc2)/C=C(\C)/c1ccc(CCCCC)cc1,1,739,-8.7330532,4.7459979,-260.50424,-10.603156,-4.2223024,-48.162457,-8.7330532,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
S(=O)(=O)(CC[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)NCCCCCCCCN)Cc1ccccc1)CCCCN)Cc1ccccc1)Cc1nc[nH]c1)CCC(=O)O)C,1,42,-8.696537,3.1870122,15.70686,-82.776276,-7.1689301,-52.034225,-8.696537,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.0065383911,1
O=C(N[C@](C(=O)N[C@@](C(=O)N[C@@](C(=O)N[C@](C(=O)N)CCCCN)Cc1ccccc1)Cc1cc2c(cc1)cccc2)Cc1nc[nH]c1)C(N)(C)C,1,509,-8.5756674,2.2064598,11.673429,-69.555199,-10.256217,-41.398903,-8.5756674,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0.013076782,1
S(=O)(=O)(CC[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)NCCCCCCCCN)Cc1ccccc1)CCCCN)Cc1ccccc1)Cc1nc[nH]c1)CCC(=O)O)C,1,42,-8.5390024,5.0827546,25.506216,-50.776695,-6.5699115,-50.700447,-8.5390024,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
O=C(O)[C@@](NC(=O)[C@]1NC(=O)CNC(=O)[C@]([C@](O)C)NC(=O)[C@]2NC(=O)[C@](C)NC(=O)[C@](C(C)C)NC(=O)[C@](CC(=O)N)NC(=O)[C@](C(C)C)NC(=O)[C@@](NC(=O)[C@](CC(C)C)NC(=O)[C@](CCC(=O)O)NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](N)CC(=O)N)CC(=O)O)CCC(=O)O)CSSC2)CSSC1)CC(C)C,1,26,-8.4258671,3.6548038,-169.72804,-21.401175,-3.5177333,-48.124828,-8.4258671,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
O=C(N[C@@]1C(=O)N[C@@](Cc2nc[nH]c2)C(=O)N[C@](Cc2ccccc2)C(=O)N[C@@](CCCNC(=N)N)C(=O)N[C@@](Cc2c3c([nH]c2)cccc3)C(=O)N[C@](C(=O)O)CCCCNC(=O)C1)[C@@](NC(=O)C)CCCC,1,841,-8.4102974,1.9674518,-251.0798,-73.415741,-8.0570049,-49.074142,-8.4102974,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
O=C(NCC(=O)N)[C@@](NC(=O)[C@]1N(C(=O)[C@]2NC(=O)[C@](CC(=O)N)NC(=O)[C@](CCC(=O)N)NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)[C@@](N)CSSC2)CCC1)CCCCN,1,520,-8.3927107,1.9377207,-66.658554,-48.836857,-9.7135315,-47.594753,-8.3927107,$HOME/My Research/MDM2/sdf for docking-20240121T092702Z-001/sdf for docking/smiles_data9.sdf,0,1
